master_id,scheme_name,primary_sector,secondary_sectors,confidence,method,review_required,evidence,scores,fetched_urls,fetch_notes
b1_2a45e55f36f66086b899,2018 Pwc Data Creating%20Cyber%20Secure%20Smart%20Cities.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Data-Creating%20Cyber%20Secure%20Smart%20Cities.pdf""]","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Data-Creating%20Cyber%20Secure%20Smart%20Cities.pdf::FETCH_ERROR:HTTPError""]"
b1_f2ed8d510f544f78390a,2018 Pwc Data Overview%20Of%20The%20Changing%20Data%20Privacy%20Landscape%20In%20India.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Data-Overview%20Of%20The%20Changing%20Data%20Privacy%20Landscape%20In%20India.pdf""]","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Data-Overview%20Of%20The%20Changing%20Data%20Privacy%20Landscape%20In%20India.pdf::FETCH_ERROR:HTTPError""]"
b1_e60fbd09d9366019850a,2018 Pwc Finance Asset%20Reconstruction%20Companies%20In%20India.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Asset%20Reconstruction%20Companies%20In%20India.pdf""]","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Asset%20Reconstruction%20Companies%20In%20India.pdf::FETCH_ERROR:HTTPError""]"
b1_0e09615a323c2711b8c9,2018 Pwc Finance Atm%20Industry%20Changing%20Landscape%20And%20Emerging%20Trends.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Atm%20Industry%20Changing%20Landscape%20And%20Emerging%20Trends.pdf""]","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Atm%20Industry%20Changing%20Landscape%20And%20Emerging%20Trends.pdf::FETCH_ERROR:HTTPError""]"
b1_1a39675b9225924c9bbe,2018 Pwc Finance Building%20The%20Nbfc%20Of%20The%20Future.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Building%20The%20NBFC%20Of%20The%20Future.pdf""]","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Building%20The%20NBFC%20Of%20The%20Future.pdf::FETCH_ERROR:HTTPError""]"
b1_77f059965c70cd6f80d8,2018 Pwc Finance Corporate%20Treasury%20Vol 1.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Corporate%20Treasury%20Vol-1.pdf""]","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Corporate%20Treasury%20Vol-1.pdf::FETCH_ERROR:HTTPError""]"
b1_f37c875470ecaf68bdff,2018 Pwc Finance Corporate%20Treasury%20Vol 2.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Corporate%20Treasury%20Vol-2.pdf""]","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Corporate%20Treasury%20Vol-2.pdf::FETCH_ERROR:HTTPError""]"
b1_5683f721dc381393e754,2018 Pwc Finance Currency%20Chests%20A%20Lifeline%20To%20The%20Indian%20Economy.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Currency%20Chests%20A%20Lifeline%20To%20The%20Indian%20Economy.pdf""]","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Currency%20Chests%20A%20Lifeline%20To%20The%20Indian%20Economy.pdf::FETCH_ERROR:HTTPError""]"
b1_7c2adf8af5baf1265ef3,2018 Pwc Pe%20&%20Vc Pe%20Deals%20In%20India.Pdf,Cross-sector Innovation & Entrepreneurship,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Cross-sector Innovation & Entrepreneurship"": 6.0}","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-PE%20&%20VC-PE%20Deals%20In%20India.pdf""]","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-PE%20&%20VC-PE%20Deals%20In%20India.pdf::FETCH_ERROR:HTTPError""]"
b1_2dfe4a1f091391c3a95b,2018 Pwc Regulation%20&%20Taxation A%20New%20Dimension%20To%20Three%20Lines%20Of%20Defence.Pdf,Aerospace & Defence,,0.68,EVIDENCE_RULES,True,preserved existing controlled sector,"{""Aerospace & Defence"": 6.0}","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Regulation%20&%20Taxation-A%20New%20Dimension%20To%20Three%20Lines%20of%20Defence.pdf""]","[""https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Regulation%20&%20Taxation-A%20New%20Dimension%20To%20Three%20Lines%20of%20Defence.pdf::FETCH_ERROR:HTTPError""]"
