master_id,scheme_name,source,ministry,department,implementing_agency,normalized_record_kind,record_kind,programme_status,application_status,status_evidence,sector,scheme_type,target_beneficiaries,startup_stage,catalogue_inclusion,catalogue_section,current_decision,official_page_url,application_url,guideline_urls,opening_date,closing_date,funding_minimum,funding_maximum,currency,eligibility,benefits,application_process,required_documents,contact_details,last_verified_date,field_evidence,primary_sector,secondary_sectors,sector_confidence,sector_classification_method,sector_evidence,sector_review_required,sector_verified_at,sector_agent_version
b1_1259aff904001b93e80c,myScheme,myScheme - National Scheme Discovery Platform,Ministry of Electronics and Information Technology,Digital India Corporation,myScheme,APPLICATION_CALL,APPLICATION_CALL,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Digital Technology & Software,Application Call,Not specified on the verified official source,Not specified on the verified official source,PENDING_REVALIDATION,APPLICATION_CALLS,,https://www.myscheme.gov.in/,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://www.myscheme.gov.in/"", ""status"": ""No explicit current application status found on official source.""}",Digital Technology & Software,,0.730,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,preserved existing controlled sector,false,2026-07-10T15:34:22+00:00,3.4.0.6b
b1_98664c06a5f9d1eee056,Distressed Assets Fund.Pdf,MSME Champions Portal,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",MSME Champions,FUND,FUND,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Cross-sector MSME & Startup Finance,Fund,Not specified on the verified official source,Not specified on the verified official source,PENDING_REVALIDATION,SCHEMES_AND_PROGRAMMES,NEEDS_REVIEW,https://champions.gov.in/Docs/Distressed Assets Fund.pdf,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://champions.gov.in/Docs/Distressed Assets Fund.pdf"", ""status"": ""No explicit current application status found on official source.""}",Cross-sector MSME & Startup Finance,,0.680,EVIDENCE_RULES,preserved existing controlled sector,true,2026-07-10T15:34:23+00:00,3.4.0.6b
b1_a4ddb9b174444c0cb2a3,Msme Launches Another Funding Scheme To Help The Distressed Msme Sector.Pdf,MSME Champions Portal,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",MSME Champions,FUND,FUND,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Cross-sector MSME & Startup Finance,Fund,Startups; MSMEs; Entrepreneurs,Not specified on the verified official source,PENDING_REVALIDATION,SCHEMES_AND_PROGRAMMES,NEEDS_REVIEW,https://champions.gov.in/Docs/MSME launches another funding scheme to help the distressed MSME sector.pdf,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://champions.gov.in/Docs/MSME launches another funding scheme to help the distressed MSME sector.pdf"", ""status"": ""No explicit current application status found on official source.""}",Cross-sector MSME & Startup Finance,,0.680,EVIDENCE_RULES,preserved existing controlled sector,true,2026-07-10T15:34:24+00:00,3.4.0.6b
b1_5a9643aad62a6ba1e2e0,Flipbookenglishschemebooklet.Pdf,MSME Champions Portal,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",MSME Champions,SCHEME_OR_PROGRAMME,SCHEME_OR_PROGRAMME,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Cross-sector Innovation & Entrepreneurship,Scheme Or Programme,Not specified on the verified official source,Not specified on the verified official source,PENDING_REVALIDATION,SCHEMES_AND_PROGRAMMES,NEEDS_REVIEW,https://msme.gov.in/sites/default/files/FlipbookEnglishSchemeBooklet.pdf,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://msme.gov.in/sites/default/files/FlipbookEnglishSchemeBooklet.pdf"", ""status"": ""No explicit current application status found on official source.""}",Cross-sector Innovation & Entrepreneurship,,0.680,EVIDENCE_RULES,preserved existing controlled sector,true,2026-07-10T15:34:25+00:00,3.4.0.6b
b1_c2e9280b037e84eb773b,NTSC Aligarh | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries Corporati,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",NSIC,APPLICATION_CALL,APPLICATION_CALL,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Sector Agnostic / Multi-sector; Robotics & Automation,Application Call,Startups; MSMEs; Entrepreneurs,Not specified on the verified official source,PENDING_REVALIDATION,APPLICATION_CALLS,,https://www.nsic.co.in/NTSC/Aligarh,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://www.nsic.co.in/NTSC/Aligarh"", ""status"": ""No explicit current application status found on official source.""}",Sector Agnostic / Multi-sector,Robotics & Automation,0.830,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,explicit multi-sector evidence: all industries,true,2026-07-10T15:34:25+00:00,3.4.0.6b
b1_ecffdf887de65cf27442,NTSC Chennai | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries Corporati,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",NSIC,APPLICATION_CALL,APPLICATION_CALL,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Sector Agnostic / Multi-sector,Application Call,Startups; MSMEs; Entrepreneurs,Not specified on the verified official source,PENDING_REVALIDATION,APPLICATION_CALLS,,https://www.nsic.co.in/NTSC/Chennai,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://www.nsic.co.in/NTSC/Chennai"", ""status"": ""No explicit current application status found on official source.""}",Sector Agnostic / Multi-sector,,0.930,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,explicit multi-sector evidence: all industries; preserved existing controlled sector,true,2026-07-10T15:34:26+00:00,3.4.0.6b
b1_792f62c29d5374694d71,"NTSC Neemka, Faridabad | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries",National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",NSIC,APPLICATION_CALL,APPLICATION_CALL,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Cross-sector Innovation & Entrepreneurship; Robotics & Automation; Sector Agnostic / Multi-sector,Application Call,Startups; MSMEs; Entrepreneurs,Not specified on the verified official source,PENDING_REVALIDATION,APPLICATION_CALLS,,https://www.nsic.co.in/NTSC/Faridabad,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://www.nsic.co.in/NTSC/Faridabad"", ""status"": ""No explicit current application status found on official source.""}",Cross-sector Innovation & Entrepreneurship,Robotics & Automation; Sector Agnostic / Multi-sector,0.963,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,broad innovation evidence: incubator,false,2026-07-10T15:34:27+00:00,3.4.0.6b
b1_f58742201a34325794e5,"NTSC Howrah, West Bengal | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industri",National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",NSIC,APPLICATION_CALL,APPLICATION_CALL,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Cross-sector Innovation & Entrepreneurship,Application Call,Startups; MSMEs; Entrepreneurs,Not specified on the verified official source,PENDING_REVALIDATION,APPLICATION_CALLS,,https://www.nsic.co.in/NTSC/Howrah,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://www.nsic.co.in/NTSC/Howrah"", ""status"": ""No explicit current application status found on official source.""}",Cross-sector Innovation & Entrepreneurship,,0.970,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,broad innovation evidence: incubator; preserved existing controlled sector,false,2026-07-10T15:34:27+00:00,3.4.0.6b
b1_e29a386a8de323617ac8,"NTSC Hyderabad, Telangana | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industr",National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",NSIC,APPLICATION_CALL,APPLICATION_CALL,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Cross-sector Innovation & Entrepreneurship; Sector Agnostic / Multi-sector,Application Call,Startups; MSMEs; Entrepreneurs,Not specified on the verified official source,PENDING_REVALIDATION,APPLICATION_CALLS,,https://www.nsic.co.in/NTSC/Hyderabad,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://www.nsic.co.in/NTSC/Hyderabad"", ""status"": ""No explicit current application status found on official source.""}",Cross-sector Innovation & Entrepreneurship,Sector Agnostic / Multi-sector,0.963,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,broad innovation evidence: entrepreneurship,false,2026-07-10T15:34:28+00:00,3.4.0.6b
b1_9647c41fe292f05075fe,Material Testing Labs | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries ,National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",NSIC,APPLICATION_CALL,APPLICATION_CALL,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Sector Agnostic / Multi-sector,Application Call,Startups; MSMEs; Entrepreneurs,Not specified on the verified official source,PENDING_REVALIDATION,APPLICATION_CALLS,,https://www.nsic.co.in/NTSC/MaterialTestingLabs,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://www.nsic.co.in/NTSC/MaterialTestingLabs"", ""status"": ""No explicit current application status found on official source.""}",Sector Agnostic / Multi-sector,,0.930,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,explicit multi-sector evidence: all industries; preserved existing controlled sector,true,2026-07-10T15:34:29+00:00,3.4.0.6b
b1_adcc80ebc251c5699fd3,"NTSC Okhla, New Delhi | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries ",National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",NSIC,APPLICATION_CALL,APPLICATION_CALL,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Cross-sector Innovation & Entrepreneurship,Application Call,Startups; MSMEs; Entrepreneurs,Not specified on the verified official source,PENDING_REVALIDATION,APPLICATION_CALLS,,https://www.nsic.co.in/NTSC/Okhla,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://www.nsic.co.in/NTSC/Okhla"", ""status"": ""No explicit current application status found on official source.""}",Cross-sector Innovation & Entrepreneurship,,0.970,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,"broad innovation evidence: incubation, incubator, entrepreneurship",false,2026-07-10T15:34:29+00:00,3.4.0.6b
b1_59487b4496e888df24a8,"NTSC Rajkot, Gujarat | NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries C",National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",NSIC,APPLICATION_CALL,APPLICATION_CALL,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Sector Agnostic / Multi-sector,Application Call,Startups; MSMEs; Entrepreneurs,Not specified on the verified official source,PENDING_REVALIDATION,APPLICATION_CALLS,,https://www.nsic.co.in/NTSC/Rajkot,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://www.nsic.co.in/NTSC/Rajkot"", ""status"": ""No explicit current application status found on official source.""}",Sector Agnostic / Multi-sector,,0.930,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,explicit multi-sector evidence: all industries; preserved existing controlled sector,true,2026-07-10T15:34:30+00:00,3.4.0.6b
b1_3de6025f3c9464f01990,"NTSC Rajpura, Punjab |NSIC Technical Services Centres | NTSC |TIC | LBI | testing laboratories accredited by NABL / BIS | NSIC Services | NSIC - NSIC : National Small Industries Co",National Small Industries Corporation,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",NSIC,APPLICATION_CALL,APPLICATION_CALL,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Sector Agnostic / Multi-sector,Application Call,Startups; MSMEs; Entrepreneurs,Not specified on the verified official source,PENDING_REVALIDATION,APPLICATION_CALLS,,https://www.nsic.co.in/NTSC/Rajpura,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://www.nsic.co.in/NTSC/Rajpura"", ""status"": ""No explicit current application status found on official source.""}",Sector Agnostic / Multi-sector,,0.930,EVIDENCE_RULES_WITH_OFFICIAL_FETCH,explicit multi-sector evidence: all industries; preserved existing controlled sector,true,2026-07-10T15:34:30+00:00,3.4.0.6b
b1_ee767f73e3c7dc192c82,Angel And Venture Funding.Html,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,FUND,FUND,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Cross-sector MSME & Startup Finance,Fund,Not specified on the verified official source,Not specified on the verified official source,PENDING_REVALIDATION,SCHEMES_AND_PROGRAMMES,NEEDS_REVIEW,https://www.startupindia.gov.in/content/sih/en/compendium_of_good_practices/angel_and_venture_funding.html,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://www.startupindia.gov.in/content/sih/en/compendium_of_good_practices/angel_and_venture_funding.html"", ""status"": ""No explicit current application status found on official source.""}",Cross-sector MSME & Startup Finance,,0.680,EVIDENCE_RULES,preserved existing controlled sector,true,2026-07-10T15:34:31+00:00,3.4.0.6b
b1_08b10de5b708d93fcf97,Incubationsupport.Html,Startup India - Central Government Schemes,Ministry of Commerce and Industry,Department for Promotion of Industry and Internal Trade (DPIIT),Startup India,INCUBATION_SUPPORT,INCUBATION_SUPPORT,OFFICIAL_INFORMATION_AVAILABLE,VERIFICATION_REQUIRED,No explicit current application status found on official source.,Cross-sector Innovation & Entrepreneurship,Incubation Support,Not specified on the verified official source,Not specified on the verified official source,PENDING_REVALIDATION,SCHEMES_AND_PROGRAMMES,NEEDS_REVIEW,https://www.startupindia.gov.in/content/sih/en/compendium_of_good_practices/incubationsupport.html,Not specified on the verified official source,,Not specified on the verified official source,Not specified on the verified official source,,,INR,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,Not specified on the verified official source,2026-07-10,"{""official_page_url"": ""https://www.startupindia.gov.in/content/sih/en/compendium_of_good_practices/incubationsupport.html"", ""status"": ""No explicit current application status found on official source.""}",Cross-sector Innovation & Entrepreneurship,,0.970,EVIDENCE_RULES,broad innovation evidence: incubation; preserved existing controlled sector,false,2026-07-10T15:34:31+00:00,3.4.0.6b
