gap_resolution_id,target_url,normalized_target_url,proposed_name,prior_gap_classification,final_gap_classification,classification_confidence,classification_reasons,link_occurrences,unique_source_pages,main_content_occurrences,main_content_ratio,max_relevance_score,average_relevance_score,enqueue_decisions,anchor_texts,source_page_roles,source_page_urls,direct_target_match,selective_crawl_required,identity_safeguard,calibration_id,calibrated_score,calibrated_decision,queue_priority,calibrated_classification,calibrated_confidence,score_reasons,triage_reasons
dst_gap_resolution_46f1e12772bbedeaa70c,https://dst.gov.in/document/budget/detailed-demands-grants-2024-2025,https://dst.gov.in/document/budget/detailed-demands-grants-2024-2025,Detailed Demands For Grants 2024-2025,UNRESOLVED,UNRESOLVED,0.6800,RELEVANCE_SCORE_PASSED;SCHEME_NAME_SIGNAL:grant,1,1,0,0.000000,55.00,55.00,LOW_RELEVANCE,Detailed Demands For Grants 2024-2025,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_94ac822c8752c7cca44e,35,OFFLINE_CLOSE,,POLICY_REPORT_OR_DOCUMENT,0.9700,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_40:+15,POLICY_REPORT_DOCUMENT_PATTERN
dst_gap_resolution_3d49647d3b921e3c1466,https://dst.gov.in/importantlinks/st-awards-information-retrieval-system-stairs,https://dst.gov.in/importantlinks/st-awards-information-retrieval-system-stairs,S&T Awards Information Retrieval System (STAIRS),UNRESOLVED,UNRESOLVED,0.5000,SCHEME_NAME_SIGNAL:award,1,1,0,0.000000,-50.00,-50.00,LOW_RELEVANCE,S&T Awards Information Retrieval System (STAIRS),BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_5d00f9fdaef590be91bc,20,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9400,INTERNAL_DST_HTML_TARGET:+20,PORTAL_OR_RESOURCE_PATTERN
dst_gap_resolution_3775f3916466d33321e3,https://dst.gov.in/importantlinks/indian-origin-academicians-abroad,https://dst.gov.in/importantlinks/indian-origin-academicians-abroad,Indian Origin Academicians Abroad,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Indian Origin Academicians Abroad,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_4a37b753ce7172e7e9a2,20,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9400,INTERNAL_DST_HTML_TARGET:+20,PORTAL_OR_RESOURCE_PATTERN
dst_gap_resolution_609cfaa9ac3736445c4a,https://dst.gov.in/importantlinks/india-science-technology-and-innovation-portal-isti,https://dst.gov.in/importantlinks/india-science-technology-and-innovation-portal-isti,"India Science, Technology and Innovation Portal (ISTI)",UNRESOLVED,UNRESOLVED,0.5300,RELEVANCE_SCORE_PASSED,1,1,0,0.000000,55.00,55.00,LOW_RELEVANCE,"India Science, Technology and Innovation Portal (ISTI)",BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_235779d6769dadde7ac9,50,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9400,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_40:+15;PERMANENT_ENTITY_NAME_SIGNAL:+15,PORTAL_OR_RESOURCE_PATTERN
dst_gap_resolution_04099f496c118c634c6d,https://dst.gov.in/importantlinks/e-journal-resources,https://dst.gov.in/importantlinks/e-journal-resources,E-Journal Resources,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,E-Journal Resources,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_eccc795aa0d91b7d777e,20,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9400,INTERNAL_DST_HTML_TARGET:+20,PORTAL_OR_RESOURCE_PATTERN
dst_gap_resolution_a81970bf5ce0a54ae46f,https://dst.gov.in/importantlinks/electronic-project-management-system-e-pms,https://dst.gov.in/importantlinks/electronic-project-management-system-e-pms,Electronic Project Management System (e-PMS),UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Electronic Project Management System (e-PMS),BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_b482ea286b2b922be551,20,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9400,INTERNAL_DST_HTML_TARGET:+20,PORTAL_OR_RESOURCE_PATTERN
dst_gap_resolution_5923d0f2f780abe4e37d,https://dst.gov.in/importantlinks/achievements-ministry-science-technology-and-earth-sciences,https://dst.gov.in/importantlinks/achievements-ministry-science-technology-and-earth-sciences,Achievements of Ministry of Science & Technology And Earth Science...,UNRESOLVED,UNRESOLVED,0.5300,RELEVANCE_SCORE_PASSED,1,1,0,0.000000,55.00,55.00,LOW_RELEVANCE,Achievements of Ministry of Science & Technology And Earth Science...,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_f1eaeb725ed6e763836f,50,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9400,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_40:+15;PERMANENT_ENTITY_NAME_SIGNAL:+15,PORTAL_OR_RESOURCE_PATTERN
dst_gap_resolution_c6b3d40bc498ed2d1b45,https://dst.gov.in/importantlinks/rd-statistics-glance,https://dst.gov.in/importantlinks/rd-statistics-glance,R&D Statistics at a Glance,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,R&D Statistics at a Glance,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_d193e196f62fe060ba8b,20,OFFLINE_CLOSE,,POLICY_REPORT_OR_DOCUMENT,0.9700,INTERNAL_DST_HTML_TARGET:+20,POLICY_REPORT_DOCUMENT_PATTERN
dst_gap_resolution_293bbb3f79cf08c7730d,https://dst.gov.in/importantlinks/indian-science-congress,https://dst.gov.in/importantlinks/indian-science-congress,Indian Science Congress,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Indian Science Congress,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_f19b8f7f46ebddf6e0ee,35,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9400,INTERNAL_DST_HTML_TARGET:+20;PERMANENT_ENTITY_NAME_SIGNAL:+15,PORTAL_OR_RESOURCE_PATTERN
dst_gap_resolution_3fe7d693a5ad6d0f9bd3,https://dst.gov.in/important_link,https://dst.gov.in/important_link,Read More,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,Read More,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_ee151a4e15b2c45f351d,20,OFFLINE_CLOSE,,INSTITUTION_OR_RESOURCE,0.9400,INTERNAL_DST_HTML_TARGET:+20,PORTAL_OR_RESOURCE_PATTERN
dst_gap_resolution_0a090818131aa0fb7029,https://dst.gov.in/pressrelease/india-maps-21st-century,https://dst.gov.in/pressrelease/india-maps-21st-century,India Maps the 21st Century,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,India Maps the 21st Century,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_cbefc137e6316454f7db,20,OFFLINE_CLOSE,,NEWS_EVENT_OR_RECRUITMENT,0.9800,INTERNAL_DST_HTML_TARGET:+20,NEWS_OR_RECRUITMENT_PATTERN
dst_gap_resolution_e5e71a99741a4f0d2cb5,https://dst.gov.in/pressrelease/tdb-invites-technology-proposals-fighting-covid-19,https://dst.gov.in/pressrelease/tdb-invites-technology-proposals-fighting-covid-19,TDB invites technology proposals for fighting COVID 19,UNRESOLVED,UNRESOLVED,0.5300,RELEVANCE_SCORE_PASSED,1,1,0,0.000000,55.00,55.00,LOW_RELEVANCE,TDB invites technology proposals for fighting COVID 19,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_55f0707b3a1c6af90dd7,50,OFFLINE_CLOSE,,NEWS_EVENT_OR_RECRUITMENT,0.9800,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_40:+15;PERMANENT_ENTITY_NAME_SIGNAL:+15,NEWS_OR_RECRUITMENT_PATTERN
dst_gap_resolution_848e964420d5a2cb22e4,https://dst.gov.in/pressrelease/nsm-transformative-approach-supercomputing,https://dst.gov.in/pressrelease/nsm-transformative-approach-supercomputing,NSM: a transformative approach in supercomputing,UNRESOLVED,UNRESOLVED,0.3500,INSUFFICIENT_OFFLINE_EVIDENCE,1,1,0,0.000000,0.00,0.00,LOW_RELEVANCE,NSM: a transformative approach in supercomputing,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_5eec60f3ace78f810e09,20,OFFLINE_CLOSE,,NEWS_EVENT_OR_RECRUITMENT,0.9800,INTERNAL_DST_HTML_TARGET:+20,NEWS_OR_RECRUITMENT_PATTERN
dst_gap_resolution_837fe6b1e8bb31b5c161,https://dst.gov.in/pressrelease/arci-develops-technology-improve-fuel-efficiency-internal-combustion-engines,https://dst.gov.in/pressrelease/arci-develops-technology-improve-fuel-efficiency-internal-combustion-engines,ARCI develops technology to improve fuel efficiency of internal...,UNRESOLVED,UNRESOLVED,0.5300,RELEVANCE_SCORE_PASSED,1,1,0,0.000000,55.00,55.00,LOW_RELEVANCE,ARCI develops technology to improve fuel efficiency of internal...,BROKEN_OFFICIAL_LINK,https://dst.gov.in/,0,0,NO_CANONICAL_IDENTITY_NO_LOCK,dst_calibration_055579ae368297e7c4e6,50,OFFLINE_CLOSE,,NEWS_EVENT_OR_RECRUITMENT,0.9800,INTERNAL_DST_HTML_TARGET:+20;RELEVANCE_GE_40:+15;PERMANENT_ENTITY_NAME_SIGNAL:+15,NEWS_OR_RECRUITMENT_PATTERN
