audit_id,audit_type,record_url,record_name,decision,classification,score,reasons,created_at
dst_calibration_audit_6ea053f4877f2fc40063,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/pressrelease/barc-inspire-fellow-enhancing-sensitivity-magnetic-resonance-techniques,BARC INSPIRE fellow enhancing sensitivity of magnetic resonance...,OFFLINE_CLOSE,NEWS_EVENT_OR_RECRUITMENT,20,NEWS_OR_RECRUITMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_2d66fa3d18af7bada26c,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/pressrelease/iit-bombay-inspire-fellow-explores-how-lipids-play-critical-roles-infectious-diseases,IIT Bombay INSPIRE fellow explores how lipids play critical roles in...,OFFLINE_CLOSE,NEWS_EVENT_OR_RECRUITMENT,20,NEWS_OR_RECRUITMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_2b3fb4af9aa51b5c25f2,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/pressrelease/vegetation-pollen-records-show-climate-fluctuations-due-solar-irradiation-himalayas,Vegetation & pollen records show climate fluctuations due to...,OFFLINE_CLOSE,NEWS_EVENT_OR_RECRUITMENT,20,NEWS_OR_RECRUITMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_70511c8d3f5e5101ffdb,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/pressrelease/flight-plant-microbes-rural-womens-benefits,The flight from plant microbes to rural womens benefits,OFFLINE_CLOSE,NEWS_EVENT_OR_RECRUITMENT,20,NEWS_OR_RECRUITMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_8ecc4264d4d0f55080bb,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/whatsnew/press-release,Open Press Release,OFFLINE_CLOSE,NEWS_EVENT_OR_RECRUITMENT,20,NEWS_OR_RECRUITMENT_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_e841e483b289185d6f8f,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/autonomous-st-attached-institutions,Autonomous S&T Institutions,OFFLINE_CLOSE,INSTITUTION_OR_RESOURCE,20,INSTITUTION_OR_STATUTORY_BODY_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_595956c3d50a4975178a,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/attached-institutions,Attached Institutions,OFFLINE_CLOSE,INSTITUTION_OR_RESOURCE,20,INSTITUTION_OR_STATUTORY_BODY_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_87dd833b1a3b0065927b,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/professional-bodies,Professional Bodies,OFFLINE_CLOSE,INSTITUTION_OR_RESOURCE,20,INSTITUTION_OR_STATUTORY_BODY_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_8a379d3155a7f16e453c,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/statutory-board-0,Statutory Bodies,OFFLINE_CLOSE,INSTITUTION_OR_RESOURCE,20,INSTITUTION_OR_STATUTORY_BODY_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_d09b5cb4a3d26d7b4681,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/international-bi-lateral-institutions,International Bi-lateral Institutions,OFFLINE_CLOSE,INSTITUTION_OR_RESOURCE,20,INSTITUTION_OR_STATUTORY_BODY_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_22635a45ad926d99bc5f,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/science-wings-abroad-0,Science Wings Abroad,SELECTIVE_CRAWL_MEDIUM,UNRESOLVED,35,INTERNAL_DST_HTML_TARGET:+20;PERMANENT_ENTITY_NAME_SIGNAL:+15,2026-07-10T11:48:28+00:00
dst_calibration_audit_43caec1c8750e7caee28,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/anusandhan-national-research-foundation-anrf,Anusandhan National Research Foundation (ANRF),OFFLINE_CLOSE,INSTITUTION_OR_RESOURCE,50,INSTITUTION_OR_STATUTORY_BODY_PATTERN,2026-07-10T11:48:28+00:00
dst_calibration_audit_db4cadccf9e23cd9c3ff,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/pension-grievance-redressal,Pension Grievance Redressal,OFFLINE_CLOSE,SUPPORTING_INFORMATION,20,KNOWN_SUPPORTING_INFORMATION,2026-07-10T11:48:28+00:00
dst_calibration_audit_4e6c01d5127649d7cc6f,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/public-grievance,Public Grievances,OFFLINE_CLOSE,SUPPORTING_INFORMATION,20,KNOWN_SUPPORTING_INFORMATION,2026-07-10T11:48:28+00:00
dst_calibration_audit_5789643b49c39f5cb1e8,UNRESOLVED_TARGET_CALIBRATION,https://dst.gov.in/parliament-qa-0,Parliament Q & A,OFFLINE_CLOSE,SUPPORTING_INFORMATION,20,KNOWN_SUPPORTING_INFORMATION,2026-07-10T11:48:28+00:00
