review_id,review_type,provisional_entity_id,proposed_name,proposed_entity_type,confidence,review_flags,evidence,source_url,recommended_action
dst_gap_final_review_a2a59f0ffa10d271b191,GAP_UNRESOLVED_OFFLINE,,OM on Empanelment of retired officers as Inquiry Officers for conducting Departm...,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/news/om-empanelment-retired-officers-inquiry-officers-conducting-department-inquiries-department,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_3decb2ddf225699f05cb,GAP_UNRESOLVED_OFFLINE,,Filling up the one post of Senior Adviser in DST on deputation (ISTC) basis fail...,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/news/filling-one-post-senior-adviser-dst-deputation-istc-basis-failing-which-direct-recruitment,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_8751dffe2f03ba492e10,GAP_UNRESOLVED_OFFLINE,,View All,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/news/%2A,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_83c0a08edefc2b14e86a,GAP_UNRESOLVED_OFFLINE,,Quantum-Safe Ecosystem in India,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/document/reports/quantum-safe-ecosystem-india,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_6e1ab09771ba41b218f8,GAP_UNRESOLVED_OFFLINE,,Detailed Demands for Grants 2026-27,UNRESOLVED,0.6800,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,RELEVANCE_SCORE_PASSED;SCHEME_NAME_SIGNAL:grant,https://dst.gov.in/document,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_becf364419632aaca1ef,GAP_UNRESOLVED_OFFLINE,,Vision Document ESTIC 2025,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/reports/vision-document-ESTIC-2025,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_dc4f06e9ccd29d5aaa8e,GAP_UNRESOLVED_OFFLINE,,Coffee Table Book ESTIC 2025,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/reports/coffee-table-book-ESTIC-2025,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_683b45fbf98ec2525cb8,GAP_UNRESOLVED_OFFLINE,,Activity Guidebook for NCSC 2026-27,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/document/reports/activity-guidebook-for-NCSC-2026-27,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_6d1b13431316d9c4e106,GAP_UNRESOLVED_OFFLINE,,DST-CCUS Roadmap 2025,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/document/reports/dst-ccus-roadmap-2025,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_46f1e12772bbedeaa70c,GAP_UNRESOLVED_OFFLINE,,Detailed Demands For Grants 2024-2025,UNRESOLVED,0.6800,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,RELEVANCE_SCORE_PASSED;SCHEME_NAME_SIGNAL:grant,https://dst.gov.in/document/budget/detailed-demands-grants-2024-2025,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_3d49647d3b921e3c1466,GAP_UNRESOLVED_OFFLINE,,S&T Awards Information Retrieval System (STAIRS),UNRESOLVED,0.5000,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,SCHEME_NAME_SIGNAL:award,https://dst.gov.in/importantlinks/st-awards-information-retrieval-system-stairs,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_3775f3916466d33321e3,GAP_UNRESOLVED_OFFLINE,,Indian Origin Academicians Abroad,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/importantlinks/indian-origin-academicians-abroad,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_609cfaa9ac3736445c4a,GAP_UNRESOLVED_OFFLINE,,"India Science, Technology and Innovation Portal (ISTI)",UNRESOLVED,0.5300,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,RELEVANCE_SCORE_PASSED,https://dst.gov.in/importantlinks/india-science-technology-and-innovation-portal-isti,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_04099f496c118c634c6d,GAP_UNRESOLVED_OFFLINE,,E-Journal Resources,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/importantlinks/e-journal-resources,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_a81970bf5ce0a54ae46f,GAP_UNRESOLVED_OFFLINE,,Electronic Project Management System (e-PMS),UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/importantlinks/electronic-project-management-system-e-pms,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_5923d0f2f780abe4e37d,GAP_UNRESOLVED_OFFLINE,,Achievements of Ministry of Science & Technology And Earth Science...,UNRESOLVED,0.5300,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,RELEVANCE_SCORE_PASSED,https://dst.gov.in/importantlinks/achievements-ministry-science-technology-and-earth-sciences,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_c6b3d40bc498ed2d1b45,GAP_UNRESOLVED_OFFLINE,,R&D Statistics at a Glance,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/importantlinks/rd-statistics-glance,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_293bbb3f79cf08c7730d,GAP_UNRESOLVED_OFFLINE,,Indian Science Congress,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/importantlinks/indian-science-congress,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_3fe7d693a5ad6d0f9bd3,GAP_UNRESOLVED_OFFLINE,,Read More,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/important_link,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_0a090818131aa0fb7029,GAP_UNRESOLVED_OFFLINE,,India Maps the 21st Century,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/pressrelease/india-maps-21st-century,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_e5e71a99741a4f0d2cb5,GAP_UNRESOLVED_OFFLINE,,TDB invites technology proposals for fighting COVID 19,UNRESOLVED,0.5300,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,RELEVANCE_SCORE_PASSED,https://dst.gov.in/pressrelease/tdb-invites-technology-proposals-fighting-covid-19,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_848e964420d5a2cb22e4,GAP_UNRESOLVED_OFFLINE,,NSM: a transformative approach in supercomputing,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/pressrelease/nsm-transformative-approach-supercomputing,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_837fe6b1e8bb31b5c161,GAP_UNRESOLVED_OFFLINE,,ARCI develops technology to improve fuel efficiency of internal...,UNRESOLVED,0.5300,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,RELEVANCE_SCORE_PASSED,https://dst.gov.in/pressrelease/arci-develops-technology-improve-fuel-efficiency-internal-combustion-engines,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_6ea053f4877f2fc40063,GAP_UNRESOLVED_OFFLINE,,BARC INSPIRE fellow enhancing sensitivity of magnetic resonance...,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/pressrelease/barc-inspire-fellow-enhancing-sensitivity-magnetic-resonance-techniques,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_2d66fa3d18af7bada26c,GAP_UNRESOLVED_OFFLINE,,IIT Bombay INSPIRE fellow explores how lipids play critical roles in...,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/pressrelease/iit-bombay-inspire-fellow-explores-how-lipids-play-critical-roles-infectious-diseases,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_2b3fb4af9aa51b5c25f2,GAP_UNRESOLVED_OFFLINE,,Vegetation & pollen records show climate fluctuations due to...,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/pressrelease/vegetation-pollen-records-show-climate-fluctuations-due-solar-irradiation-himalayas,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_70511c8d3f5e5101ffdb,GAP_UNRESOLVED_OFFLINE,,The flight from plant microbes to rural womens benefits,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/pressrelease/flight-plant-microbes-rural-womens-benefits,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_8ecc4264d4d0f55080bb,GAP_UNRESOLVED_OFFLINE,,Open Press Release,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/whatsnew/press-release,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_e841e483b289185d6f8f,GAP_UNRESOLVED_OFFLINE,,Autonomous S&T Institutions,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/autonomous-st-attached-institutions,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_595956c3d50a4975178a,GAP_UNRESOLVED_OFFLINE,,Attached Institutions,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/attached-institutions,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_87dd833b1a3b0065927b,GAP_UNRESOLVED_OFFLINE,,Professional Bodies,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/professional-bodies,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
dst_gap_final_review_8a379d3155a7f16e453c,GAP_UNRESOLVED_OFFLINE,,Statutory Bodies,UNRESOLVED,0.3500,NOT_HIGH_VALUE_FOR_AUTOMATIC_SELECTIVE_CRAWL,INSUFFICIENT_OFFLINE_EVIDENCE,https://dst.gov.in/statutory-board-0,MANUAL_REVIEW_OR_CLOSE_AS_NAVIGATION_SUPPORTING_PAGE
