"gap_resolution_id","target_url","normalized_target_url","proposed_name","prior_gap_classification","final_gap_classification","classification_confidence","classification_reasons","link_occurrences","unique_source_pages","main_content_occurrences","main_content_ratio","max_relevance_score","average_relevance_score","enqueue_decisions","anchor_texts","source_page_roles","source_page_urls","direct_target_match","selective_crawl_required","identity_safeguard"
"dst_gap_resolution_1ef376c1e9d37b54f2ad","https://dst.gov.in/stakeholders-target-groups","https://dst.gov.in/stakeholders-target-groups","Stakeholders-target-groups","UNRESOLVED","UNRESOLVED","0.4700","SCHEME_PROGRAMME_CATEGORY_SOURCE","6","6","0","0.000000","20.00","13.33","LOW_RELEVANCE","Stakeholders-target-groups","APPLICATION_GUIDANCE;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_MASTER_CANDIDATE","https://dst.gov.in/about-schemes;https://dst.gov.in/archive;https://dst.gov.in/funding-mechanism;https://dst.gov.in/how-apply-project-support;https://dst.gov.in/programmes-innitiatives;https://dst.gov.in/sanctioned-projects","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_a43296e994353a37a757","https://dst.gov.in/glp-certified-test-facilities","https://dst.gov.in/glp-certified-test-facilities","GLP Certified Test Facilities","UNRESOLVED","UNRESOLVED","0.6200","SCHEME_PROGRAMME_CATEGORY_SOURCE;PROGRAMME_NAME_SIGNAL:facilities","2","2","0","0.000000","20.00","10.00","LOW_RELEVANCE","GLP Certified Test Facilities","GUIDELINE_PAGE;PROGRAMME_CATEGORY_INDEX","https://dst.gov.in/ngcma;https://dst.gov.in/oecd-test-guidelines-testing-chemicals","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_dec3f2ec19adcbecacc3","https://dst.gov.in/international-cooperation-mega-science","https://dst.gov.in/international-cooperation-mega-science","International Cooperation & Mega Science","UNRESOLVED","UNRESOLVED","0.4500","DIRECT_CLASSIFIED_PAGE_ROLE:UNKNOWN","417","416","0","0.000000","20.00","1.73","LOW_RELEVANCE","International Cooperation & Mega Science","APPLICATION_GUIDANCE;APPLICATION_INVITATION;BROKEN_OFFICIAL_LINK;CALL_ARCHIVE_INDEX;CALL_FOR_PROPOSALS;CALL_RESULT;CURRENT_CALL_INDEX;DEADLINE_EXTENSION;EVENT;EXPRESSION_OF_INTEREST;GUIDELINE_PAGE;NEWS;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_CATEGORY_INDEX;SCHEME_MASTER_CANDIDATE;UNKNOWN","https://dst.gov.in/;https://dst.gov.in/about-schemes;https://dst.gov.in/announcement/applications-invited-throughout-year;https://dst.gov.in/archive;https://dst.gov.in/archive-call-for-proposals;https://dst.gov.in/archive-call-for-proposals?page=1;https://dst.gov.in/archive-call-for-proposals?page=10;https://dst.gov.in/archive-call-for-proposals?page=11;https://dst.gov.in/archive-call-for-proposals?page=12;https://dst.gov.in/archive-call-for-proposals?page=13;https://dst.gov.in/archive-call-for-proposals?page=14;https://dst.gov.in/archive-call-for-proposals?page=15;https://dst.gov.in/archive-call-for-proposals?page=16;https://dst.gov.in/archive-call-for-proposals?page=17;https://dst.gov.in/archive-call-for-proposals?page=2;https://dst.gov.in/archive-call-for-proposals?page=3;https://dst.gov.in/archive-call-for-proposals?page=4;https://dst.gov.in/archive-call-for-proposals?page=5;https://dst.gov.in/archive-call-for-proposals?page=6;https://dst.gov.in/archive-call-for-proposals?page=7;https://dst.gov.in/archive-call-for-proposals?page=8;https://dst.gov.in/archive-call-for-proposals?page=9;https://dst.gov.in/call-for-proposals;https://dst.gov.in/callforproposals;https://dst.gov.in/callforproposals-0;https://dst.gov.in/callforproposals-1;https://dst.gov.in/callforproposals/10th-india-israel-industrial-rd-and-technological-innovation-fund-i4f;https://dst.gov.in/callforproposals/11th-india-spain-joint-call-rdi-projects-2024;https://dst.gov.in/callforproposals/2018-commonwealth-scholarship-united-kingdom;https://dst.gov.in/callforproposals/2019-brics-calls-proposals-multilateral-rd-projects","1","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_8362d050b98a398e6e70","https://dst.gov.in/st-data-policy-and-training","https://dst.gov.in/st-data-policy-and-training","S&T Data, Policy and Training","UNRESOLVED","UNRESOLVED","0.4500","DIRECT_CLASSIFIED_PAGE_ROLE:UNKNOWN","417","416","0","0.000000","20.00","1.73","LOW_RELEVANCE","S&T Data, Policy and Training","APPLICATION_GUIDANCE;APPLICATION_INVITATION;BROKEN_OFFICIAL_LINK;CALL_ARCHIVE_INDEX;CALL_FOR_PROPOSALS;CALL_RESULT;CURRENT_CALL_INDEX;DEADLINE_EXTENSION;EVENT;EXPRESSION_OF_INTEREST;GUIDELINE_PAGE;NEWS;PROGRAMME_CATEGORY_INDEX;PROGRAMME_MASTER_CANDIDATE;SANCTIONED_PROJECT_EVIDENCE;SCHEME_CATEGORY_INDEX;SCHEME_MASTER_CANDIDATE;UNKNOWN","https://dst.gov.in/;https://dst.gov.in/about-schemes;https://dst.gov.in/announcement/applications-invited-throughout-year;https://dst.gov.in/archive;https://dst.gov.in/archive-call-for-proposals;https://dst.gov.in/archive-call-for-proposals?page=1;https://dst.gov.in/archive-call-for-proposals?page=10;https://dst.gov.in/archive-call-for-proposals?page=11;https://dst.gov.in/archive-call-for-proposals?page=12;https://dst.gov.in/archive-call-for-proposals?page=13;https://dst.gov.in/archive-call-for-proposals?page=14;https://dst.gov.in/archive-call-for-proposals?page=15;https://dst.gov.in/archive-call-for-proposals?page=16;https://dst.gov.in/archive-call-for-proposals?page=17;https://dst.gov.in/archive-call-for-proposals?page=2;https://dst.gov.in/archive-call-for-proposals?page=3;https://dst.gov.in/archive-call-for-proposals?page=4;https://dst.gov.in/archive-call-for-proposals?page=5;https://dst.gov.in/archive-call-for-proposals?page=6;https://dst.gov.in/archive-call-for-proposals?page=7;https://dst.gov.in/archive-call-for-proposals?page=8;https://dst.gov.in/archive-call-for-proposals?page=9;https://dst.gov.in/call-for-proposals;https://dst.gov.in/callforproposals;https://dst.gov.in/callforproposals-0;https://dst.gov.in/callforproposals-1;https://dst.gov.in/callforproposals/10th-india-israel-industrial-rd-and-technological-innovation-fund-i4f;https://dst.gov.in/callforproposals/11th-india-spain-joint-call-rdi-projects-2024;https://dst.gov.in/callforproposals/2018-commonwealth-scholarship-united-kingdom;https://dst.gov.in/callforproposals/2019-brics-calls-proposals-multilateral-rd-projects","1","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_293bbb3f79cf08c7730d","https://dst.gov.in/importantlinks/indian-science-congress","https://dst.gov.in/importantlinks/indian-science-congress","Indian Science Congress","UNRESOLVED","UNRESOLVED","0.3500","INSUFFICIENT_OFFLINE_EVIDENCE","1","1","0","0.000000","0.00","0.00","LOW_RELEVANCE","Indian Science Congress","BROKEN_OFFICIAL_LINK","https://dst.gov.in/","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_a2a59f0ffa10d271b191","https://dst.gov.in/news/om-empanelment-retired-officers-inquiry-officers-conducting-department-inquiries-department","https://dst.gov.in/news/om-empanelment-retired-officers-inquiry-officers-conducting-department-inquiries-department","OM on Empanelment of retired officers as Inquiry Officers for conducting Departm...","UNRESOLVED","UNRESOLVED","0.3500","INSUFFICIENT_OFFLINE_EVIDENCE","1","1","0","0.000000","0.00","0.00","LOW_RELEVANCE","OM on Empanelment of retired officers as Inquiry Officers for conducting Departm...","BROKEN_OFFICIAL_LINK","https://dst.gov.in/","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_8751dffe2f03ba492e10","https://dst.gov.in/news/%2A","https://dst.gov.in/news/%2A","View All","UNRESOLVED","UNRESOLVED","0.3500","INSUFFICIENT_OFFLINE_EVIDENCE","1","1","0","0.000000","0.00","0.00","LOW_RELEVANCE","View All","BROKEN_OFFICIAL_LINK","https://dst.gov.in/","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_83c0a08edefc2b14e86a","https://dst.gov.in/document/reports/quantum-safe-ecosystem-india","https://dst.gov.in/document/reports/quantum-safe-ecosystem-india","Quantum-Safe Ecosystem in India","UNRESOLVED","UNRESOLVED","0.3500","INSUFFICIENT_OFFLINE_EVIDENCE","1","1","0","0.000000","0.00","0.00","LOW_RELEVANCE","Quantum-Safe Ecosystem in India","BROKEN_OFFICIAL_LINK","https://dst.gov.in/","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_becf364419632aaca1ef","https://dst.gov.in/reports/vision-document-ESTIC-2025","https://dst.gov.in/reports/vision-document-ESTIC-2025","Vision Document ESTIC 2025","UNRESOLVED","UNRESOLVED","0.3500","INSUFFICIENT_OFFLINE_EVIDENCE","1","1","0","0.000000","0.00","0.00","LOW_RELEVANCE","Vision Document ESTIC 2025","BROKEN_OFFICIAL_LINK","https://dst.gov.in/","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
"dst_gap_resolution_dc4f06e9ccd29d5aaa8e","https://dst.gov.in/reports/coffee-table-book-ESTIC-2025","https://dst.gov.in/reports/coffee-table-book-ESTIC-2025","Coffee Table Book ESTIC 2025","UNRESOLVED","UNRESOLVED","0.3500","INSUFFICIENT_OFFLINE_EVIDENCE","1","1","0","0.000000","0.00","0.00","LOW_RELEVANCE","Coffee Table Book ESTIC 2025","BROKEN_OFFICIAL_LINK","https://dst.gov.in/","0","0","NO_CANONICAL_IDENTITY_NO_LOCK"
