"master_id","scheme_name","normalized_record_kind","record_kind","source","ministry","department","programme_status","application_status","official_page_url"
"b1_8d0f2938b633c1dc084b","Accelerator%20Market%20Fit%20.Pdf","INCUBATION_SUPPORT","INCUBATION_SUPPORT","Startup India - Incubator Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/public/incubator_page_content/Accelerator%20Market%20Fit%20.pdf"
"b1_895c09f897c6eb7dd823","Handbook%20For%20Incubator%20Managers.Pdf","INCUBATION_SUPPORT","INCUBATION_SUPPORT","Startup India - Incubator Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/public/incubator_page_content/Handbook%20for%20Incubator%20Managers.pdf"
"b1_13f2c2ba7089a3e1ae19","Incubation%20For%20Social%20Startups.Pdf","INCUBATION_SUPPORT","INCUBATION_SUPPORT","Startup India - Incubator Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/public/incubator_page_content/Incubation%20for%20social%20startups.pdf"
"b1_8cf69084dd306d82140c","Mixed Use%20Incubator%20Handbook%20By%20Infodev%20Pdf.Pdf","INCUBATION_SUPPORT","INCUBATION_SUPPORT","Startup India - Incubator Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/public/incubator_page_content/Mixed-use%20Incubator%20Handbook%20by%20infoDev%20pdf.pdf"
"b1_cf919fd1b183819cf241","Role%20Of%20State%20In%20Creating%20Startup%20Ecosystem.Pdf","INCUBATION_SUPPORT","INCUBATION_SUPPORT","Startup India - Incubator Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/public/incubator_page_content/Role%20of%20State%20in%20creating%20Startup%20Ecosystem.pdf"
"b1_21ec035db49abef98147","Startup%20Engagement%20Best%20Practices%20For%20%20Large%20Organizations.Pdf","INCUBATION_SUPPORT","INCUBATION_SUPPORT","Startup India - Incubator Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/public/incubator_page_content/Startup%20Engagement%20Best%20Practices%20for%20%20Large%20Organizations.pdf"
"b1_0f9270d0847037fbd869","The%20Infodev%20Global%20Network%20Of%20Business%20Incubators%20 %20Pdf.Pdf","INCUBATION_SUPPORT","INCUBATION_SUPPORT","Startup India - Incubator Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/public/incubator_page_content/The%20infoDev%20Global%20Network%20of%20Business%20Incubators%20-%20pdf.pdf"
"b1_5284ddb8bed0e1c804eb","Sitemap 0.Xml","SCHEME_OR_PROGRAMME","SCHEME_OR_PROGRAMME","myScheme - National Scheme Discovery Platform","Ministry of Electronics and Information Technology","Digital India Corporation","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.myscheme.gov.in/sitemap-0.xml"
"b1_1cfc6c4be071558146fe","Funding.Html","FUND","FUND","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/sih/en/funding.html"
"b1_f63fd47a7794ded0ed55","Innovation Challenge.Html","APPLICATION_CALL","APPLICATION_CALL","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/sih/en/international/innovation-challenge.html"
"b1_6d500af766c0d054d578","2018 Nasscom Startup%20Ecosystem Indian%20Start%20Up%20Ecosystem%202018%20Report.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-NASSCOM-Startup%20Ecosystem-Indian%20Start%20Up%20Ecosystem%202018%20Report.pdf"
"b1_07a0e56d5f439745381b","2018 Nasscom Startup%20Ecosystem Product%20Opportunities%20Driving%20Usd%2010%20Trillion%20Economy.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-NASSCOM-Startup%20Ecosystem-Product%20Opportunities%20Driving%20USD%2010%20Trillion%20Economy.pdf"
"b1_98ad2d84b2c9de2ba458","2018 Pwc Ai Advance%20Artificial%20Intelligence%20For%20Growth.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-AI-Advance%20Artificial%20Intelligence%20for%20Growth.pdf"
"b1_df7160df7daf98c14ac4","2018 Pwc Ai Artificial%20Intelligence%20In%20India%20Hype%20Or%20Reality.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-AI-Artificial%20Intelligence%20In%20India%20Hype%20Or%20Reality.pdf"
"b1_6e0475f95ce1b758730c","2018 Pwc Ai Autonomous%20Intelligence%20In%20Customer%20Experience.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-AI-Autonomous%20Intelligence%20In%20Customer%20Experience.pdf"
"b1_9f34483f5b2f6ad2ce04","2018 Pwc Blockchain Automating%20Trust%20In%20Citizen%20Services.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Blockchain-Automating%20Trust%20In%20Citizen%20Services.pdf"
"b1_239162d88eb3d7ec27d1","2018 Pwc Blockchain The%20Next%20Innovation%20To%20Make%20Our%20Cities%20Smarter.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Blockchain-The%20Next%20Innovation%20To%20Make%20Our%20Cities%20Smarter.pdf"
"b1_056f9fed96d483aa66ab","2018 Pwc Data %20At%20A%20Privacy%20Crossroads.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Data-%20At%20A%20Privacy%20Crossroads.pdf"
"b1_2a45e55f36f66086b899","2018 Pwc Data Creating%20Cyber%20Secure%20Smart%20Cities.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Data-Creating%20Cyber%20Secure%20Smart%20Cities.pdf"
"b1_f2ed8d510f544f78390a","2018 Pwc Data Overview%20Of%20The%20Changing%20Data%20Privacy%20Landscape%20In%20India.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Data-Overview%20Of%20The%20Changing%20Data%20Privacy%20Landscape%20In%20India.pdf"
"b1_e60fbd09d9366019850a","2018 Pwc Finance Asset%20Reconstruction%20Companies%20In%20India.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Asset%20Reconstruction%20Companies%20In%20India.pdf"
"b1_0e09615a323c2711b8c9","2018 Pwc Finance Atm%20Industry%20Changing%20Landscape%20And%20Emerging%20Trends.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Atm%20Industry%20Changing%20Landscape%20And%20Emerging%20Trends.pdf"
"b1_1a39675b9225924c9bbe","2018 Pwc Finance Building%20The%20Nbfc%20Of%20The%20Future.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Building%20The%20NBFC%20Of%20The%20Future.pdf"
"b1_77f059965c70cd6f80d8","2018 Pwc Finance Corporate%20Treasury%20Vol 1.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Corporate%20Treasury%20Vol-1.pdf"
"b1_f37c875470ecaf68bdff","2018 Pwc Finance Corporate%20Treasury%20Vol 2.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Corporate%20Treasury%20Vol-2.pdf"
"b1_5683f721dc381393e754","2018 Pwc Finance Currency%20Chests%20A%20Lifeline%20To%20The%20Indian%20Economy.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Currency%20Chests%20A%20Lifeline%20To%20The%20Indian%20Economy.pdf"
"b1_645b7f9ea37cd940ee24","2018 Pwc Finance Demystifying%20Credit%20Assessment%20In%20Banks.Pdf","CREDIT_SUPPORT","CREDIT_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Finance-Demystifying%20Credit%20Assessment%20In%20Banks.pdf"
"b1_f12d18c65ba0fbfc8494","2018 Pwc Healthcare Ayurveda%20On%20The%20Cusp%20Of%20Change.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Healthcare-Ayurveda%20On%20The%20Cusp%20Of%20Change.pdf"
"b1_39d2bb54bb126214f105","2018 Pwc Healthcare Ayushman%20Bharat%20National%20Health%20Protection%20Mission.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Healthcare-Ayushman%20Bharat%20National%20Health%20Protection%20Mission.pdf"
"b1_7c2adf8af5baf1265ef3","2018 Pwc Pe%20&%20Vc Pe%20Deals%20In%20India.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-PE%20&%20VC-PE%20Deals%20In%20India.pdf"
"b1_2dfe4a1f091391c3a95b","2018 Pwc Regulation%20&%20Taxation A%20New%20Dimension%20To%20Three%20Lines%20Of%20Defence.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Regulation%20&%20Taxation-A%20New%20Dimension%20To%20Three%20Lines%20of%20Defence.pdf"
"b1_4c16993273ac692ed4d1","2018 Pwc Regulation%20&%20Taxation Deriving%20An%20Upper%20Edge%20Through%20Risk%20And%20Finance%20Alignment.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/2018-PwC-Regulation%20&%20Taxation-Deriving%20An%20Upper%20Edge%20Through%20Risk%20And%20Finance%20Alignment.pdf"
"b1_15d108bf123ebe17fa17","India%20Fintech%20Report%202020%20(1).Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/India%20FinTech%20Report%202020%20(1).pdf"
"b1_ded28e691870083b035c","Nasscom%20Zinnov%20India%20Startup%20Landscape%20Report%202019.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/NASSCOM%20Zinnov%20India%20Startup%20Landscape%20Report%202019.pdf"
"b1_46d7f31efb64ec4d3705","Nationalstrategy For Ai Discussion Paper Nitiayogpaper.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/NationalStrategy-for-AI-Discussion-Paper_NitiAyogPaper.pdf"
"b1_f4969a21b4befb9f9a17","Ssrn Id3474809.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/SSRN-id3474809.pdf"
"b1_1524c2c75fff69550fb4","The Next Wave Unicorns Of Today Giants Of Tomorrow 2019.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/THE-NEXT-WAVE-Unicorns-of-today-Giants-of-tomorrow_2019.pdf"
"b1_30f17452c76e4d06baad","The Deals Dynamics A Pe Vc Impact Report Bdo India.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/The-Deals-Dynamics_A-PE-VC-Impact-Report_BDO-India.pdf"
"b1_34da38c08eb157737a75","Tie%20Delhi%20Ncr%20Startup%20Report.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/TiE%20Delhi%20NCR%20Startup%20Report.pdf"
"b1_f00c9cff3ac839c3a2d3","Ey Ecommerce And Consumer Internet Sector India Trendbook 2019.Pdf","RESEARCH_SUPPORT","RESEARCH_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/dam/invest-india/Templates/startupindiaPDF/market_research_reports/ey-ecommerce-and-consumer-internet-sector-india-trendbook-2019.pdf"
"b1_209a3fd28aa689da5250","Incubator Framework.Html","INCUBATION_SUPPORT","INCUBATION_SUPPORT","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/sih/en/incubator-framework.html"
"v332_8bb8621f379572d79719","International Bridges","SCHEME_OR_PROGRAMME","SCHEME_OR_PROGRAMME","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/sih/en/international.html"
"v332_d7187e5adb221d198743","International","SCHEME_OR_PROGRAMME","SCHEME_OR_PROGRAMME","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/sih/en/startup-scheme/international.html"
"v332_3502bb2bbb8ab6f0f10c","Income Tax Exemption Notifications","SCHEME_OR_PROGRAMME","SCHEME_OR_PROGRAMME","Startup India - Central Government Schemes","Ministry of Commerce and Industry","Department for Promotion of Industry and Internal Trade (DPIIT)","OFFICIAL_INFORMATION_AVAILABLE","VERIFICATION_REQUIRED","https://www.startupindia.gov.in/content/sih/en/startupgov/imb.html"
