record_id,sector,evidence_url,mapping_basis
dbt_birac_programme_8394e6f426a8d1ccfe1c,environmental biotechnology,https://birac.nic.in/desc_new.php?id=58,OFFICIAL_SCOPE_TEXT
dbt_birac_programme_85cb10362c7f8eab552a,biotechnology,https://birac.nic.in/e_yuva.php,OFFICIAL_SCOPE_TEXT
dbt_birac_programme_85cb10362c7f8eab552a,healthcare,https://birac.nic.in/e_yuva.php,OFFICIAL_SCOPE_TEXT
dbt_birac_programme_85cb10362c7f8eab552a,diagnostics,https://birac.nic.in/e_yuva.php,OFFICIAL_SCOPE_TEXT
dbt_birac_programme_85cb10362c7f8eab552a,medical devices,https://birac.nic.in/e_yuva.php,OFFICIAL_SCOPE_TEXT
dbt_birac_programme_85cb10362c7f8eab552a,agriculture and agritech,https://birac.nic.in/e_yuva.php,OFFICIAL_SCOPE_TEXT
dbt_birac_programme_85cb10362c7f8eab552a,industrial biotechnology,https://birac.nic.in/e_yuva.php,OFFICIAL_SCOPE_TEXT
dbt_birac_programme_85cb10362c7f8eab552a,bioinformatics,https://birac.nic.in/e_yuva.php,OFFICIAL_SCOPE_TEXT
dbt_birac_programme_920294c17d4689850646,biotechnology,https://pgt.dbtindia.gov.in/,OFFICIAL_SCOPE_TEXT
dbt_birac_programme_920294c17d4689850646,healthcare,https://pgt.dbtindia.gov.in/,OFFICIAL_SCOPE_TEXT
dbt_birac_programme_920294c17d4689850646,agriculture and agritech,https://pgt.dbtindia.gov.in/,OFFICIAL_SCOPE_TEXT
dbt_birac_programme_920294c17d4689850646,food biotechnology,https://pgt.dbtindia.gov.in/,OFFICIAL_SCOPE_TEXT
dbt_birac_programme_920294c17d4689850646,industrial biotechnology,https://pgt.dbtindia.gov.in/,OFFICIAL_SCOPE_TEXT
dbt_birac_programme_920294c17d4689850646,bioinformatics,https://pgt.dbtindia.gov.in/,OFFICIAL_SCOPE_TEXT
dbt_birac_programme_950e8371679bc4771790,biotechnology,https://birac.nic.in/desc_new.php?id=286,OFFICIAL_SCOPE_TEXT
dbt_birac_programme_96f0cfcbe5b77792d7ec,biotechnology,https://birac.nic.in/desc_new.php?id=217,OFFICIAL_SCOPE_TEXT
dbt_birac_programme_9fe430e5274621be5189,biotechnology,https://birac.nic.in/desc_new.php?id=286,OFFICIAL_SCOPE_TEXT
dbt_birac_programme_a76f47a688f22080c2f5,biotechnology,https://birac.nic.in/leapFund.php,OFFICIAL_SCOPE_TEXT
dbt_birac_review_8b674da63a197fa42809,biotechnology,https://birac.nic.in/big.php,OFFICIAL_SCOPE_TEXT
